Country;ISO code;Population
Andorra;ad;76177
Albania;al;2862427
Armenia;am;2965269
Austria;at;8858775
Azerbaijan;az;0
Bosnia and Herzegovina;ba;0
Belgium;be;11467923
Bulgaria;bg;7000039
Belarus;by;9475174
Switzerland;ch;8542323
Cyprus;cy;875898
Czechia;cz;10649800
Germany;de;83019213
Denmark;dk;5806081
Estonia;ee;1324820
Spain;es;46934632
Finland;fi;5517919
France;fr;67028048
United Kingdom;gb;66647112
Georgia;ge;3723464
Greece;gr;10722287
Croatia;hr;4076246
Hungary;hu;9772756
Ireland;ie;4904226
Iceland;is;356991
Italy;it;60359546
Liechtenstein;li;38378
Lithuania;lt;2794184
Luxembourg;lu;613894
Latvia;lv;1919968
Monaco;mc;38300
Moldova;md;0
Montenegro;me;622182
North Macedonia;mk;2077132
Malta;mt;493559
Netherlands;nl;17282163
Norway;no;5328212
Poland;pl;37972812
Portugal;pt;10276617
Romania;ro;19401658
Serbia;rs;6963764
Russia;ru;0
Sweden;se;10230185
Slovenia;si;2080908
Slovakia;sk;5450421
San Marino;sm;34590
Turkey;tr;82003882
Ukraine;ua;42153201
Kosovo (under United Nations Security Council Resolution 1244/99);xk;1795666
